genome	rankID	title	taxonomy	radius
GCF_000299035.1	7	Bacillus Bingmayongensis	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus Bingmayongensis	92.5
GCF_001590835.1	7	Bacillus Gaemokensis	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus Gaemokensis	92.5
GCF_000712595.1	7	Bacillus Manliponensis	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus Manliponensis	92.5
GCF_000496285.1	7	Bacillus Toyonensis	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus Toyonensis	92.5
GCF_001683155.1	7	Bacillus Mosaicus	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus Mosaicus	92.5
GCF_002550135.1	7	Bacillus Mycoides	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus Mycoides	92.5
GCF_002559215.1	7	Bacillus Luti	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus Luti	92.5
GCF_002559665.1	7	Bacillus Unknown Species 15	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus Unknown Species 15	92.5
GCF_002568015.1	7	Bacillus Cereus s.s.	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus Cereus s.s.	92.5
GCF_002576795.1	7	Bacillus Paramycoides	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus Paramycoides	92.5
GCF_002578045.1	7	Bacillus Unknown Species 16	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus Unknown Species 16	92.5
GCF_002583515.1	7	Bacillus Unknown Species 13	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus Unknown Species 13	92.5
GCF_002584535.1	7	Bacillus Arachidis	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus Arachidis	92.5
GCF_002251005.2	7	Bacillus Cytotoxicus	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus Cytotoxicus	92.5
GCF_000746925.1	7	Bacillus Clarus	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus Clarus	92.5
GCF_002552625.1	7	Bacillus Unknown Species 18	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus Unknown Species 18	92.5
GCF_002588885.1	7	Bacillus Pseudomycoides	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus Pseudomycoides	92.5
GCF_917563915.1	7	Bacillus Rhizoplanae	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus Rhizoplanae	92.5
